sequence_id,sequence_length
XXL27941.1,566
ALE31881.1,566
ATV86505.1,566
WGG36860.1,566
ATV90029.1,566
WGG36421.1,566
ASB34065.1,566
XPD12192.1,566
XPD12178.1,566
UZR07458.1,566
ATV90005.1,566
XKV11533.1,566
ALE32117.1,566
ATV85732.1,566
BDP39120.1,566
QHI34377.1,566
QPP47264.1,566
XXL28114.1,566
APQ44678.1,566
WAH78199.1,566
